First Name,Last Name,Address,Birth Date,Join Date,Outstanding Balance,ID
Chris,Mansfield,1234 Street Name_Orem_UT,4/12/1993,3/26/2016,0,0
Chris,Mansfield,1234 Street Name_Orem_UT,4/12/1993,3/26/2016,0,1
Chris,Mansfield,1234 Street Name_Orem_UT,4/12/1993,3/26/2016,0,2
Chris,Mansfield,1234 Street Name_Orem_UT,4/12/1993,3/26/2016,0,3
Chris,Mansfield,1234 Street Name_Orem_UT,4/12/1993,3/26/2016,0,4
Chris,Mansfield,1234 Street Name_Orem_UT,4/12/1993,3/26/2016,0,5
Chris,Mansfield,1234 Street Name_Orem_UT,4/12/1993,3/26/2016,0,6
Chris,Mansfield,1234 Street Name_Orem_UT,4/12/1993,3/26/2016,0,7
Chris,Mansfield,1234 Street Name_Orem_UT,4/12/1993,3/26/2016,0,8
Chris,Mansfield,1234 Street Name_Orem_UT,4/12/1993,3/26/2016,0,9
